id,caption,mic4,foa,meta
97151,"In the distance of a mid-sized acoustically dampened room, you hear rustling, ducks quacking, water splashing, and an adult female and male speaking while blowing duck calls.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\97151\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\97151\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\97151\meta.yml
108945,"A distant large room hosts applause, a man yelling, and a group singing, softened by acoustic damping.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\108945\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\108945\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\108945\meta.yml
107898,"In a mid-sized acoustically dampened room, a man’s voice and intermittent keyboard taps are audible from the left.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107898\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107898\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107898\meta.yml
107893,"A motor noise, followed by a horn honking and a siren wailing, emanates from the back of a mid-sized acoustically dampened room.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107893\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107893\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107893\meta.yml
107897,The sound of an airplane engine is coming from the left side of a small room.,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107897\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107897\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107897\meta.yml
107895,"To the far right of a mid-sized acoustically dampened room, a machine emits a continuous beeping sound.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107895\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107895\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\107895\meta.yml
109315,A sound of wind blowing followed by a zoom is emanating from the far upper left corner of a large acoustically dampened room.,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\109315\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\109315\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\109315\meta.yml
99850,The sound of an infant crying accompanied by a woman's laughter is coming from the near side of a large room.,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\99850\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\99850\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\99850\meta.yml
102364,"To the left in a large echoing room, you hear leaves rustling, a small bell chiming, and birds chirping in the background.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\102364\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\102364\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\102364\meta.yml
97151,"In a large acoustically dampened room, rustling sounds, duck quacks, and water splashes are followed by a conversation between an adult female and male and the sound of duck calls being blown.",C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\97151\mic4.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\97151\foa.wav,C:\Users\UEJI SHOTARO\Desktop\takamichi-lab\Spatial_Audio_Caps\pairs\97151\meta.yml
